BRA,Summary
No,"Firefox crash in OOM | unknown | mozalloc_abort(char const* const) | mozalloc_handle_oom(unsigned int) | moz_xmalloc | mozilla::WMFAudioMFTManager::Output(__int64, nsRefPtr<mozilla::MediaData>&)"
No,Crash in test_peerConnection_twoAudioVideoStreams.html when applying the patch from bug 1137963
No,Video for HTML5 Player for Youtube Cuts to Black
No,Intermittent test_seek-1.html | owl.mp3 seek test 1: Video currentTime should be around 1.645: 0.600806 (seeking) (and two more)
No,Intermittent test_BufferingWait.html | Test timed out or Should not spend an inordinate amount of time buffering
No,Intermittent test_dynamicsCompressorNode.html | application crashed [@ quant_all_bands]
No,Ringtones settings crashes with multiple selections
No,YouTube HTML5 videos are choppy in Windows 10
No,Crash while randomly selecting ringtones
No,Intermittent webspeech/synth/test/test_speech_queue.html | application timed out after 330 seconds with no output
No,Intermittent TEST-UNEXPECTED-FAIL | test_seek.html | Assertion count N is greater than expected range 0-5 assertions.
No,"Intermittent webspeech/recognition/test/test_abort.html | Assertion count 1 is greater than expected range 0-0 from ""ASSERTION: Non-empty event queue being destroyed; events being leaked"""
No,"Intermittent Android test_new_audio.html,test_paused_after_ended.html,test_play_events.html,test_play_events_2.html | Test timed out | 4 test timeouts, giving up | Skipping remaining tests"
No,Intermittent test_MediaSource.html | Test timed out.
No,[e10s] Playing 6-hour Chrome Dev Summit YouTube video from certain time point hangs browser after 1 minute
No,Segfault on shutdown
No,Flicker of new target frame while seeking before reverting to old frame
No,bitdash MPEG-DASH MSE demo videos' playback progress bar is too short
No,Video becomes black and stops when I move seek-bar repeatedly
No,[EME] Uplift Gecko EME changesets to Firefox 37 beta
No,Intermittent test_streams_element_capture.html | application crashed [@ libc.so + 0x11e78]
No,"Videos (Youtube) do not play if about:config media.mediasource.enabled is ""true"" (FF37.0.1)"
No,Never closes locally opened audio files.
No,Intermittent content/media/test/test_VideoPlaybackQuality.html | Test timed out.
No,Playback video only shows keyframes.
No,"Intermittent test_bug448534.html | application crashed [@ CoreAudio + 0x1c7fe] after 2x ABORT: Aborting on channel error.: file MessageChannel.cpp, line 1531"
No,Firefox shows videos only 360p and 720p in YouTube HTML5
No,Grooveshark.com doesn't play songs in HTML5 version
No,Ogg video is muted/unmuted with delay
No,2% Linux32|osx10.6 a11y session restore test on inbound (v.36) Nov 20th from push 405b0c00071f
No,Intermittent test_seek.html | application crashed [@ mozilla::MediaDecoderStateMachine::DecodeSeek()] after Assertion failure: !audio || (audio->mTime <= seekTime && seekTime <= audio->mTime + audio->mDuration)
No,Playback of a specific Vimeo video broken / janky
No,Many HTML5 videos play only at original size
No,Intermittent test_playback_rate.html | Assertion count 3 is greater than expected range 0-0 assertions. (from Clock should go forwards if the playback rate is > 0)
No,Memory usage keeps growing in Firefox - GStreamer memory leak?
No,Bioshock Ininite command video is distorted when setting quality to 1080p
No,"netflix not working in new nightly: F7121-7702. ""Nightly is installing components needed to play the audio or video."""
No,Crash @xul!mozilla::WMFVideoMFTManager::WMFVideoMFTManager+ed
No,"Assertion failure: (video->mTime <= seekTime && seekTime <= video->GetEndTime()) || mReader->VideoQueue().IsFinished() (Seek target should lie inside the first frame after seek, unless it's the last frame.)"
No,Assertion failure: startTime >= 0
No,MSE - mochitest test for WebM on B2G failed due to MediaOmxReader::ReadMetadata run in wrong thread
No,MSE Compliance Test: Fail test 18:  TimestampOffsetAudio
No,MSE Compliance Test: Fail test 19: TimestampOffsetVideo
No,MSE Compliance Test: Fail test  24: DurationAfterAppendVideo
No,MSE Compliance Test: Fail test 27: MediaElementEvents
No,MSE Compliance Test: Fail test  36: AppendAudioOffset
No,MSE Compliance Test: Fail test 39: AppendMultipleInitVideo
No,MSE Compliance Test: Fail test 43: AudioWithOverlap
No,MSE Compliance Test: Fail test 44: AudioWithSmallGap
No,MSE Compliance Test: Fail test 51: FrameGaps
No,MSE Compliance Test: Fail test 52: FrameOverlaps
No,MSE Compliance Test: Fail test 29: VideoBufferSize
No,MSE Compliance Test: Fail test 48: BufUnbufSeek
No,Intermittent content/media/test/test_fragment_noplay.html | Test timed out.
No,H.264 support broken in 37.0 and 38.0a2 on Linux amd64
No,Intermittent test_seek-2.html | application timed out after 330 seconds with no output
No,mp4 video on www.crashplan.com generates graphics error dialog
No,Browser hang when playing youtube video and seek
No,"Assertion failure: aFailureHandling == DontAssertDispatchSuccess || ((bool)(__builtin_expect(!!(!NS_FAILED_impl(rv)), 1))), at dom/media/MediaTaskQueue.h:88"
No,HTML5 video freezes for two seconds in the beginning of the playback.
No,"Intermittent test_eme_canvas_blocked.html | application terminated with exit code -6 (Assertion failure: 0 == flags, at nsprpub/pr/src/pthreads/ptio.c:3317)"
No,Intermittent test_load.html | application crashed [@ PR_WaitCondVar]
No,Intermittent TEST-UNEXPECTED-TIMEOUT | /html/semantics/embedded-content/media-elements/interfaces/TextTrackCue/onenter.html | expected OK
No,Intermittent test_SeekableAfterEndOfStream.html | application crashed [@ md_UnlockAndPostNotifies]
No,"Intermittent application crashed [@ mozilla::detail::AtomicBaseIncDec<int, (mozilla::MemoryOrdering)2u>::operator--]"
No,Intermittent test_eme_canvas_blocked.html | application crashed [@ AudioCodecs + 0xdf586]
No,Intermittent automation.py | application crashed [@ `mozilla::MediaInputPort::Destroy'::`2'::Message::RunDuringShutdown]
No,Intermittent 799419.html | application timed out after 330 seconds with no output
No,Intermittent test_playback.html | application crashed [@ th_decode_packetin]
No,Intermittent test_peerConnection_basicH264Video.html | Error in test execution: Error: timeout after 60s: onaddstream never fired timerGuard/<@http://mochi.test:8888/tests/dom/media/tests/mochitest/pc.js:192:13 ...
No,"intermittent PROCESS-CRASH | dom/media/test/test_bug495145.html | application crashed, inside MessagePump::Release"
No,"intermittent test_peerConnection_removeThenAddVideoTrackNoBundle.html ###!!! ABORT: Aborting on channel error and application crashed [@ base::WaitableEvent::WaitableEventKernel::Dequeue(base::WaitableEvent::Waiter*, void*)]"
No,"Intermittent mediasource-config-change-mp4-av-framesize.html | Tests mp4 frame size changes in multiplexed content. - assert_equals: Event types match. expected ""resize"" but got ""ended"""
No,"Intermittent test_playback.html | application crashed [@ mozilla::MediaTimer::ArmTimer(mozilla::TimeStamp const &,mozilla::TimeStamp const &)]"
No,Intermittent mediasource-config-change-mp4-av-video-bitrate.html | Tests mp4 video bitrate changes in multiplexed content. - Test timed out
No,Test # 3 (Stress Test) Video playback stutters when setting video resolution to max
No,"Some videos wont play, videos only play in 360p on Windows XP"
No,Intermittent mediasource-buffered.html | Get buffered range when only init segment is appended. - Test timed out
No,Intermittent mediasource-remove.html | Test remove with a start at the duration. - assert_less_than: expected a number less than 10 but got NaN
No,"Intermittent test_playback.html | application crashed [@ mozilla::net::HttpChannelChild::DoOnStatus] | Assertion failure: status == NS_NET_STATUS_RECEIVING_FROM || status == NS_NET_STATUS_READING, at ../../../../gecko/netwerk/protocol/http/HttpChannelChil"
No,"Intermittent test_eme_obs_notification.html | gizmo-frag-cencinit.mp4-2: session.generateRequest failed; InvalidStateError: An attempt was made to use an object that is not, or is no longer, usable - expected PASS"
No,Intermittent test_eme_obs_notification.html | application crashed [@ mozilla::dom::SpeechGrammarList::Release()]
No,"Intermittent test_eme_stream_capture_blocked.html | gizmo-frag-cencinit.mp4-2_case2: session.generateRequest failed; InvalidStateError: An attempt was made to use an object that is not, or is no longer, usable - expected PASS"
No,Intermittent test_eme_stream_capture_blocked.html | short-cenc.mp4-0_case2 got error event; [object Event] - expected PASS
No,"Intermittent test_eme_obs_notification.html | This test left crash dumps behind, but we weren't expecting it to! after ""ABORT: __delete__()d actor: file ./PGMPDecryptor.cpp, line 28"""
No,Intermittent media-src-7_1.html | In-policy async video source element - expected PASS
No,"Intermittent ""Assertion failure: ((bool)(__builtin_expect(!!(!NS_FAILED_impl(rv)), 1))), at ../../dist/include/MediaPromise.h:653"" with various crash stacks associated"
No,Intermittent test_reset_src.html | application timed out after 450.0 seconds with no output
No,Intermittent test_eme_persistent_sessions.html | application crashed [@ mozilla::MediaSourceReader::WaitForData(mozilla::MediaData::Type)]
No,Intermittent test_eme_persistent_sessions.html | application crashed [None]
No,Intermittent test_playback.html | application timed out after 450.0 seconds with no output
No,Intermittent 799419.html | load failed: timed out waiting for reftest-wait to be removed
No,Intermittent test_play_events.html | application crashed [@ libmedia.so + 0x33e36]
No,Intermittent test_referer.html | application timed out after 450.0 seconds with no output
No,html5 youtube video stoped
No,[Vista] Video very jittery when playing in FF 36 Beta 1
No,Crash on Steam Broadcast [@ nsCOMPtr_base::~nsCOMPtr_base() | msmpeg2vdec.dll@0x125a59 ]
No,"Intermittent test_eme_stream_capture_blocked.html | uncaught exception - InvalidStateError: An attempt was made to use an object that is not, or is no longer, usable at http://mochi.test:8888/tests/dom/media/test/eme.js:101"
No,Problems resuming video playback on youtube without Flash
No,Application Error/Hang while playing Youtube video
No,Intermittent test_bug1113600.html | application crashed [@ CoreAudio + 0x1c7fe]
No,Intermittent test_eme_non_mse_fails.html | application crashed [@ base::WaitableEvent::Signal()]
No,"Intermittent test_eme_persistent_sessions.html | bipbop-cenc-videoinit.mp4-1 rejected, reason=InvalidStateError: An attempt was made to use an object that is not, or is no longer, usable after Assertion failure: aKey.size() == ((size_t)16)"
No,[FFOS] some video file keeps video app loading and will not stop
No,video.buffered TimeRanges Object returns negative Start and End Values for webm
No,Video (presumably accelerated) causes a large increase in TDRs
No,WebVTT use-after-free crash [@mozilla::dom::FragmentOrElement::Release]
No,Debug mochitest-1 nearly perma-fail in media mochitests
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/canvas/test/crossorigin/test_video_crossorigin.html | application timed out after 330 seconds with no output
No,Unplugging headphones freezes self view
No,Intermittent test_WaitingOnMissingData_mp4.html | application terminated with exit code -11
No,Intermittent test_bug1113600.html | Assertion count 1 is greater than expected range 0-0 assertions.  ASSERTION: Clock should go forwards.: 'GetMediaTime() <= clock_time || mPlaybackRate <= 0 || (mAudioCaptured && mState == DECODER_STATE_SEEKING)'
No,Intermittent test_peerConnection_capturedVideo.html | Assertion count 72 is greater than expected range 0-0 assertions.
No,crash in android_atomic_inc on MC
No,CNN videos won't play as the file is corrupt
No,CDM fails to play under some conditions
No,Intermittent test_navigator_gamepads.html | application crashed [@ mozilla::MediaCacheStream::Close()]
No,[EME] CDM crash in test_eme_playback.html
No,Intermittent test_eme_obs_notification.html | Test timed out.
No,Setting the audio element's currentTime to a same value as the audio element's duration corrupts it
No,"crash in __aeabi_fcmpgt (cubeb_opensl.c, opensl_init)"
No,"Intermittent  TEST-UNEXPECTED-FAIL | chrome://mochitests/content/a11y/accessible/tests/mochitest/actions/test_tree.xul | application terminated with exit code -6 | Assertion failed: (comp), function audiounit_stream_init, file ../../../../../media/libcube"
No,Intermittent test_audio1.html | application timed out after 330 seconds with no output
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/webaudio/test/test_audioParamSetValueAtTime.html | Assertion count 1 is greater than expected range 0-0 assertions.
No,Intermittent test_contentDuration5.html | application timed out after 330 seconds with no output
No,Intermittent PROCESS-CRASH | /tests/content/media/test/test_play_events.html | application crashed [@ silk_stereo_quant_pred]
No,"Intermittent TEST-UNEXPECTED-FAIL | test_texttrackcue.html | There should be 1 currently active cue(s). - got 2, expected 1"
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_autoplay_contentEditable.html | Exited with code 11 during test run | application crashed [@ nsCharSeparatedTokenizerTemplate<&(NS_IsAsciiWhitespace(unsigned short))>::nsCharSeparatedToken
No,Intermittent TEST-UNEXPECTED-FAIL | test_load_candidates.html | Test timed out.
No,Intermittent test_chaining.html | Assertion count 1 is greater than expected range (Must have timer scheduled: 'IsStateMachineScheduled()')
No,Intermittent test_media_selection.html | uncaught exception - ReferenceError: MediaTestManager is not defined at http://mochi.test:8888/tests/content/media/test/test_media_selection.html:12
No,Intermittent test_buffered.html | Assertion count 1 is greater than expected range 0-0 assertions from ASSERTION: Clock should go forwards if the playback rate is > 0.
No,Intermittent test_seekable1.html | Test timed out.
No,"Intermittent test_sanity | test failed with return code -6 after ""void test_stream_position(): Assertion `position <= total_frames_written' failed."""
No,"Intermittent test_load.html | Test small-shot.m4a 4 - events received in order - got source_error, expected durationchange | Test timed out."
No,Intermittent test_bug465498.html | Assertion count 1 is greater than expected range 0-0 assertions. after ASSERTION: Clock should go forwards if the playback rate is > 0.: 'mCurrentFrameTime <= clock_time || mPlaybackRate <= 0'
No,"Intermittent test_paused_after_ended.html | [finished 320x240.ogv-4] Length of array should match number of running tests - got 0, expected 1 | followed by several similar failures for other media files"
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/image/test/mochitest/test_bug497665.html | application timed out after 330 seconds with no output
No,Intermittent test_seekable2.html | [SimpleTest.finish()] this test already called finish! | called finish() multiple times
No,Intermittent TEST-UNEXPECTED-FAIL | test_load_same_resource.html | {Clone} gizmo.mp4 duration: Infinity expected: 5.56
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_chaining.html | Test timed out.
No,"Intermittent 459439-1.html | assertion count 1 is more than expected 0 assertions (Should have audio start time by now: 'audioStartTime != -1', file content/media/MediaDecoderStateMachine.cpp, line 1120)"
No,Intermittent test_seekable3.html | Test timed out.
No,Intermittent test_mozHasAudio.html | Test timed out.
No,Intermittent TEST-UNEXPECTED-FAIL | file:///C:/slave/test/build/tests/reftest/tests/content/media/test/crashtests/795892-1.html | application timed out after 330 seconds with no output
No,Intermittent test_bug726904.html | application crashed [@ PL_HashTableRawLookup]
No,Intermittent test_standalone.html | application timed out after 330 seconds with no output
