BRA,Summary
No,org.openide.filesystems.FSException: Folder XML already exists in C:\Users\Lokesh\AppData\Roaming\NetBeans\7.3\config (C:\Users\Lokesh\AppData\Roaming\NetBeans\7.3\config\Loaders\text\XML).
No,[41cat] Xml syntax coloring doesn't work after import from 4.0
No,Refresh all files doesn't re-read DTD
No,[DevRev] Consider using javax.swing.text.Element for document elements
No,[50cat] Schema catalogs are not imported
No,CSS file is not loaded
No,IllegalArgumentException: ancestor == descendant!!!
No,Potential Leak in SyntaxQueryHelper
No,testModelLocking test fails randomly
No,NPE from DocumentModel:450
No,XMLDocumentModel unit test fails
No,AssertionError at org.netbeans.modules.editor.structure.api.DocumentModel$DocumentModelModificationTransaction.addDocumentElement
No,relative paths in entity declarations give a parse error
No,SAX Wizard uses java.util.ResourceBundle.
No,Inappropriate exception from SyntaxElement.getPrevious/Next
No,DocBook XML module causes parse error
No,XML Schemas do not map through catalog
No,Remove obsolete compatibility stuff
No,Allow branding of colors in XMLSettingsInitializer
No,"Don't use ""multi-dot"" names in xml layers"
No,"XML Schema file: ""Validate XML"" bug in ""choice"" block"
No,NullPointerException got using TAB for navigation
No,Retriever does not handle HTTP redirect
No,NullPointerException at org.netbeans.modules.xml.multiview.XmlMultiViewEditorSupport$5.run
No,Split JAXB library module to API part and implementation part
No,NullPointerException at org.netbeans.modules.xml.wsdl.model.extensions.soap.validation.SOAPComponentValidator.visit
No,Always create model instance in AbstractModelFactory
No,Deadlock after removing EJB when ejb-jar.xml r/o
No,IDE Freeze on update catalog.xml
No,Changes on #attdef-decl: nodes aren't propagated from the Text Editor into Properties and Customizer
No,[40cat] CSS highlight odd behaivor when using @media
No,Allow to brand css editor color settings
No,More inteligent XML completion
No,SAX Document Handler created empty files
No,Extend org.netbeans.modules.xml.multiview.ui.SimpleDialogPanel.DialogDescriptor to support labels with &X mnemonics
No,NullPointerException at org.netbeans.modules.wsdlextensions.jdbc.wizards.JDBCWizardOptionsPanel.isValid
No,NullPointerException at org.netbeans.modules.wsdlextensions.jdbc.validator.JDBCComponentValidator.visit
No,Cannot validate a WSDL with sun jdbc extension
No,I18N localization of element/attribute name and documentation of binding nodes in property sheet
No,Remove unused xml/catalog/compat sources
No,Exception on opening file without access permissions
No,[a11y] Mnemonics handling issue
No,Remove code handling 3.x projects
No,Multiply change of definition property doesn't work
No,BPEL Autocompletion works wrong for Web Service activities
No,Slow WSDL/XSD import
No,"After adding element to element, that element is not expanded"
No,XML Automcompletion does not work for BPEL correlation tag
No,XmlCompletionProvider calls hideCompletion under certain cases
No,Transformation on OTA in salami slice pattern takes a long time
No,Too many Timer threads spawned during runtime
No,unnecessary creation of catalog.xml file
No,Big overhead during editing of an element name in a big xml file
No,Remove dependency on org.openide.options
No,Reformat code: 2 tags stay on a single row
No,XML navigator retains memory
No,LocalElement is treated as ElementReference when a Schema model is loaded by an ant task
No,rename in Design View shows old item
No,Ouput - XML check window doesn't scroll properly
No,Wrong threading in o.n.m.xml.schema.abe
No,Two MIME resolvers for text/x-css
No,java.lang.AssertionError when working with svg
No,BaseDocument should be created rather for mimeType or EditorKit instance than for kitClass
No,Terrible performance editting an ant script
No,Mac : Esc doen't cancel editing in Design View
No,XML code completion blocks Shift-Tab keybinding
No,InvalidClassException after changing indentation options
No,WSDL component property setting API doesn't take care of namespace
No,Delay of schema elements appearance in Navigator panel
No,FSException: Cannot get shared access to
No,"When I type the /> at the end of an XML element, the code completion is still open"
No,Need to cleanup duplicates in trunk
No,[60cat] IAE getParent() called for DE at modifying XML document
No,NullPointerException at org.openide.filesystems.FileUtil.toFile
No,CC not working when offline for DTDs provided by a catalog
No,Tiles2 DTD causes NPE
No,XML validation for both DTD and schema
No,Build.xml formatting is broken
No,org.xml.sax.SAXException occurred
No,NullPointerException at org.netbeans.modules.xml.dtd.grammar.ContentModel$MultiplicityGroup.eat
No,6.0b2: Unable to auto-complete new XML files (catalog error)
No,right click on a DTD to generate SAX parsing does not work any more on version 6.0 ?
No,[60cat] context.xml not properly reformatted
No,[60cat] To small popup code-completation in .xml files -> make larger and resizable
No,code completion in xml
No,autocomplete changes the case of closing tags
No,Failure to validate large xml files
No,some jsf tags not highlighted
No,SAX Document Handler Wizard
No,"""Save As"" does not assign new file name to the currently open file you are saving"
No,NullPointerException at org.netbeans.modules.xml.schema.ui.nodes.categorized.customizer.ComplexTypeCustomizer.saveContentType
No,Switch to graph view and back in Delete preview works strange.
No,schema aware CC: CompletionContext does not populate the pathFromRoot
No,search field goes blank
No,AssertionError at org.netbeans.modules.xml.retriever.catalog.Utilities._getDocument
No,NullPointerException at org.netbeans.modules.xml.schema.abe.nodes.ABEAbstractNode.setNameByRefactoring
No,Incorrect show/hide attributes icon after Delete/Undo in Design view
No,incorrect caret position when completing elements with required attributes
No,Code Completion not working with local schema in User Catalog
No,Finding unused elemens takes much time and CPU
No,NPE in getting value from AttrImpl
No,Memory leak with Open Schema View action
No,dynamically recognize documents
No,Incorrect document updation when using schema based code completion
No,Friend access for Struts2 support
No,XML editor for own xml file type throws Exception/Assertion
No,SAX Document Handler Wizard failed due to internal errors.
No,Exception when adding new line to SVG XML file
No,NullPointerException at org.netbeans.modules.xml.axi.impl.AXIModelBuilderQuery.checkComponent
No,Root elements from a referenced schema should be available for XML generation
No,Elements with optional attributes aren't generated
No,java.util.ConcurrentModificationException at java.util.AbstractList$Itr.checkForComodification
No,DataObject.find() does not work for own xml file type
No,"""Format"" action (Ctrl-Shift-F) in XML files ignores text selection"
No,Extra namespace definition that is not being used should be filtered out when comparing XMLs.
No,XML schema code completion does not offer for enumerated attribute values
No,IDE doesn't respond until Navigator is updated
No,select root element drop down blank for generating xml from schema with no target namespace
No,Suspicious atomicLock on document in Tag.java
No,IllegalStateException: [Winsys] TopComponent org.netbeans.modules.xml.text.TextEditorComponent throws runtime exception from its componentActivated() method. Please repair it! Probable cause is at org
No,completition not working in XML files
No,CompletionModelProvider gets wrong CompletionContext
No,Adding event listener shows warning message box
No,"""Re-indent current line or selection"" does not work in XML documents"
No,XML formatting error
No,XML Autoformat adds/removes linebreaks
No,NullPointerException at org.netbeans.modules.xml.text.navigator.TapPanel.paintBorder
No,& missed by the code completion for attribute values
No,NullPointerException at org.netbeans.modules.xml.xam.ui.multiview.ActivatedNodesMediator.updateExplorerManager
No,javax.swing.text.StateInvariantError: Bad caret position
No,java.util.ConcurrentModificationException: Caller uses obsolete token sequence which is no longer valid. Underlying token hierarchy has been modified: modCount=14 != upToDateModCount=15 Please report
No,remove dependency from xml.text module
No,Two different syntax highlighting styles and mime types for the same document type
No,The included schemas with empty target namespace looks wrong in the tree
No,Attribute value completion inserts wrong values disregarding typed prefix
No,NullPointerException at org.netbeans.modules.xml.schema.completion.util.CompletionUtil.getAttributeValues
No,"Design view font size increases after each rename, undo or redo."
No,formatting moves cursor
No,"[65cat] [editor] Saving a WSDL file following a ""Malformed WSDL"" message generates an AssertionError"
No,"[65cat] [editor] Cut and Paste WSDL, then Rewinding operation generates IllegalStateException"
No,"[65cat] [editor] Cut and Paste WSDL, then move generates AssertionError"
No,Code completion stoped working
No,Code Completion suggestions remain displayed
No,Tooltip suggested files are in System Filesystem
No,Cannot get XML document to use catalog
No,DTD documentation generation needs title
No,NullPointerException at org.netbeans.modules.xml.schema.abe.nodes.ABEAbstractNode.getActions
No,XML editor throws NPE
No,Unlimited recursion on Sample XML generation
No,Attribute value completion items are shown at wrong locations
No,[65cat] NullPointerException at org.netbeans.modules.xml.xdm.xam.XDMAccess.getPathFromRoot
No,org.apache.xerces.parsers.XML11Configuration not found
No,Schema based attribute value code completion inserts wrong value
No,NullPointerException at org.netbeans.modules.xml.axi.Compositor.setType
No,NullPointerException at org.netbeans.modules.xml.schema.abe.nodes.ABENodeFactory.createRootNode
No,"insert code template in xml, cursor jumps to begin doc"
No,[65cat] StringIndexOutOfBoundsException: String index out of range: -10
No,[65cat] StringIndexOutOfBoundsException: String index out of range: -10
No,NullPointerException at org.netbeans.api.project.ProjectUtils.getSources
No,[65cat] NullPointerException at org.netbeans.modules.xml.xam.ui.customizer.ExternalReferenceCreator.createRootNode
No,NullPointerException at org.netbeans.modules.xml.xam.ui.customizer.ExternalReferenceCreator.createRootNode
No,StringIndexOutOfBoundsException: String index out of range: -1
No,"Comma-separated values, each record separated by LF&CR"
No,IllegalArgumentException: old node must be in the tree
No,[65cat] NullPointerException at org.netbeans.modules.xml.wizard.XMLGeneratorVisitor.generateXML
No,"I18N : ""Please Wait..."" message is hardcoded in xml.text"
No,"xsd:include with backslash in the schemaLocation result in ""Broken reference"""
No,NullPointerException at org.netbeans.modules.xml.xam.dom.AbstractDocumentComponent.getAttribute
No,[65cat] NullPointerException at org.netbeans.modules.xml.retriever.catalog.Utilities._getDocument
No,[65cat] ClassCastException: org.netbeans.modules.xml.xdm.nodes.Comment cannot be cast to org.netbeans.modules.xml.xdm.nodes.Element
No,[65cat] IllegalStateException: Current thread has already started a transaction
No,[65cat] AssertionError at org.netbeans.modules.xml.retriever.catalog.impl.CatalogModelFactoryImpl.getCatalogWriteModelForProject
No,[65cat] javax.swing.undo.CannotRedoException at javax.swing.undo.AbstractUndoableEdit.redo
No,[65cat] javax.swing.undo.CannotUndoException at javax.swing.undo.AbstractUndoableEdit.undo
No,NullPointerException at org.netbeans.modules.xml.schema.abe.nodes.SchemaModelFlushWrapper.setValue
No,code completion is case insentive in xml
No,IllegalStateException at org.netbeans.modules.xml.dtd.grammar.ContentModel.parseContentModel
No,IllegalArgumentException: setSelectedIndex: 0 out of bounds
No,File is present twice in the look up
No,"IllegalArgumentException: getParent() called for DE (21281982)[""action"" (tag) <0-0> ''] which is not in the elements list!"
No,NullPointerException at org.netbeans.modules.xml.schema.abe.InplaceEditableLabel.hideEditor
No,NullPointerException at org.netbeans.modules.xslt.tmap.model.api.completion.TMapCompletionModelProvider.isTMapFile
No,IllegalArgumentException: component to be deleted is not a child
No,IllegalArgumentException: C:/Documents and Settings/Luis Brenen/My Documents/NetbeansProjects/Nueva carpeta/DSSAlbaliaWebClient/nbproject/private/cache/retriever/www.w3.org/TR/xmldsig-core/xmldsig-cor
No,xml lexer treats multiline block comments as different tokens
No,[67cat] AssertionError when opening an empty XML file
No,[67cat] No XML auto completion with external schemas
No,NullPointerException: Passed null to FileOwnerQuery.getOwner(FileObject)
No,"file ""jumps"" up sometimes"
No,Degenerate Element implementation in HintContext
No,Show close tag items in CC + put them before open tags
No,XSL Transformation button is sometimes disabled
No,Stop using deprecated EnhancedCustomPropertyEditor
No,Unused TextEditorSupportFactory in XML modules
No,DV: elements do not expand automatically
No,Editor left in modified state after undo to last save point
No,Referenced Schema -- properties -- changing target namespace?
No,Well-formed error message has invalid position
No,Selecting/unselecting usages in XML refactoring preview window sometimes does not work
No,Goto from Schema View to Design View doesn't work for first time
No,Missing package label in Add Import
No,Enter doesn't close the window
No,Check for well-formed is ambiguous
No,XML Schema support unit test is failing
No,possible to makeTransformation without XSLT script
No,getElementsByTagName does not work
No,Schema-based CC ignores element order restrictions
No,Double-click in projects view switches editor's view
No,Unable to Delete XML Element first time
No,Drag and Drop Is allowed when it shouldn't be
No,Move Refactor dialog does not allow default location
No,Popup menu in preview pane should be disabled
No,Code completion is slow at the end of OTA schema
No,Subprojects Projects greyed out for move refactoring
No,Exception after refreshing preview refactoring window
No,Properties window does needs special attention to reflect changes
No,Properties Customizer does not show proper Online Help
No,Restore Default value on schema target namespace throws AssertionError
No,[60cat] null in Pattern property in WSDL editor
No,Save is enabled after Undo in Schema View
No,Unnecessary nodes in Element's Definition dialog
No,Element Definition works wrong
No,OK button isn't default in Find Derivations dialog
No,Schema rename in properties should be treated as refactoring
No,Printing design view creates redundant empty pages
No,Right arrow is enabled for complex type in Schema View
No,"After apply design pattern, DV nodes do not expand on first click"
No,Preview not available
No,Source menu is enabled for schema view
No,I18N - bpel module has resize issue in project properties dlg
No,Rename of an element requires ENTER
No,Derivations diagram has redundant items
No,Move Refactor undo then redo leaves behind file
No,FileAlreadyLockedException after refactoring
No,Confusing design of Delete Preview.
No,catalog.xml entry gets overwritten when external wsdl is retrieved to multiple folders in the project
No,Can't move .xsd file to another directory
No,Generate Sample XML title needs an ellipsis at the end
No,Incorrect refactoring of binding input/output
No,WSDL Refactor rename dialog populates the wrong name for operation input/output rename
No,Focus issues in Column View
No,Confusing info message when editing read-only schema
No,Missing optional attributes for code completion in XSD editor
No,DV refactoring undo undoes more than last change
No,JAXB Bindings has wrong node icon
No,Time to first time open Apply Design Pattern wizard exceeds threshold
No,Refactoring takes too much time for large schemas
No,gpx files which are valid xml are not handled as such
No,jaxbwiz.endorsed.dirs java.lang.NoClassDefFoundError
No,setModified does not work in XMLMV
No,Design doesn't show refered element
No,usability issues in new xml wizard w.r.t schema
No,Properties window cannot unset substitution group
No,refactoring-rename performs formatting of XML files
No,Design view corrupted after changing structure a second time
No,"""generate sample xml"" with recursive element enters in loop"
No,multiple instances of GrammarQuery created.
No,NullPointerException at org.netbeans.modules.xml.refactoring.ui.MoveFilePanel.initValues
No,Missing for -- comments in DTD
No,NB XML Validation and Open Content Model
No,"""Generate Sample Xml"" creates unrequested qualifications"
No,100% cpu when deleting big part in big xml file
No,NullPointerException at org.netbeans.modules.xml.retriever.catalog.Utilities._getDocument
No,Code Completion for tag moves text to the right and does not replace it
No,IllegalArgumentException: org.openide.loaders.DataObjectNotFoundException: C:\Documents and Settings\jshomphe\My Documents\NetBeansProjects\HelloXSLTBridge
No,Wrong default shortcut for paste. By default CTRL+V for single xsd file is associated with refactor copy
No,Netbean XML schema validation doesn't recognize <!DOCTYPE schema/>
No,Generating test XML from schemas causes infinite loop
No,taglib editor: closing quotation mark is not overwritten
No,After finished some tag in Tag Library Desc. is a bug in CC
No,Should Allow User to Proceed When ‘Use Catalog File’ Is Selected Without Selecting Valid File
No,[65cat] IllegalArgumentException: C:/Users/Sunbon/Documents/NetBeansProjects/StockQuoteService1/StockQuoteService1/nbproject/private/cache/retriever/localhost_8080/StockQuoteService/StockService.xsd_1.xsd is
No,No easy way to cancel XML document creation.
No,Generate Sample XML for .xsl files does not indent properly
No,Generate Sample XML for .xsl files does not have deep recursion
No,[65cat] RuntimeException at org.netbeans.modules.xml.refactoring.XMLRefactoringTransaction.rollback
No,code folding not working for application/xml files
No,IllegalArgumentException: Could not find parent component
No,[65cat] reflect.UndeclaredThrowableException at $Proxy18.actionPerformed
No,"[65cat] IndexOutOfBoundsException: Index: -1, Size: 18"
No,code completion works wrong in ibatis sqlmap xml
No,reflect.UndeclaredThrowableException at $Proxy33.actionPerformed
No,IllegalArgumentException: setSelectedIndex: 0 out of bounds
No,XML code completion sometimes doesn't show elements in default namespace.
No,IllegalArgumentException: setSelectedIndex: 0 out of bounds
No,"IllegalArgumentException: getParent() called for DE (21281982)[""action"" (tag) <0-0> ''] which is not in the elements list!"
No,Code completion in pom.xml doesn't type closing bracket
No,Japanese popup help in xsd design is invalid.
No,Register XmlFileEncodingQueryImpl in the MimeLookup
No,NullPointerException: The file parameter cannot be null
No,Preserve code folds when cutting & pasting
No,"XML reformat is very slow, blocks EQ"
No,NullPointerException at org.netbeans.modules.xml.xam.ui.customizer.ExternalReferenceCreator.createRootNode
No,XML Editor - formatter - comments do not line up with indented code
No,IllegalStateException: Referencing component is not part of model.
No,IllegalArgumentException: URI has an authority component
No,NullPointerException at org.netbeans.modules.xml.retriever.catalog.Utilities._getDocument
No,Error During Transformation
No,xml.schema.ui.basic should declare test dependencies in project.xml
No,[65cat] java.util.MissingResourceException: No such bundle org.netbeans.modules.xml.actions.Bundle
No,Xml code completion does not work for online xsd files
No,IllegalArgumentException: Model source is read-only.
No,XMLDataLoader registered for content/unknown mime type
No,NullPointerException at org.netbeans.modules.xslt.tmap.nodes.DecoratedOperation.getTooltip
No,NullPointerException at org.netbeans.modules.xslt.mapper.model.nodes.TreeNode.getTreePath
No,User added library not found after adding JAXB binding
No,NullPointerException at org.netbeans.modules.xml.xam.dom.AbstractDocumentComponent.getAttributeMap
No,Netbeans freezes for XSL Transformation when trying to write to a new file
No,bracket matching works strange
No,taglib code completion doesn't offer end end tags
No,Problems with XML Format with tabs
No,Copy and paste XSD does not work correctly
No,AssertionError at org.netbeans.modules.editor.structure.api.DocumentModel$DocumentModelModificationTransaction.addDocumentElement
No,NullPointerException at org.netbeans.modules.xml.xdm.nodes.XMLSyntaxParser.parse
No,IllegalArgumentException: Model source is read-only.
No,"IllegalStateException: Problem in some module which uses Window System: Window System API is required to be called from AWT thread only, see http://core.netbeans.org/proposals/threading/"
No,NullPointerException at org.netbeans.modules.xml.refactoring.ui.CopyPanel.initValues
No,IllegalArgumentException: Cannot have null root context.
No,IllegalStateException: attempted model write without invoking startTransaction
No,NullPointerException at org.netbeans.api.xml.cookies.CookieMessage.<init>
No,CatalogEntryNode is not serializable
No,NullPointerException at org.netbeans.modules.xml.schema.model.impl.SchemaComponentImpl.populateChildren
No,Create empty xsd file and paste contents results in deadlock
No,XML Validation exception with schemaLocation attribute
No,[67cat] NullPointerException at org.netbeans.modules.xml.jaxb.model.JAXBWizProjectOpenedHookImpl.projectOpened
No,XSL Validation import loop
No,Randomly appeared NPE in XDMModel.prepareSync while deleting wsdl or xsd files
No,NullPointerException at org.netbeans.modules.xml.schema.ui.nodes.schema.LocalSimpleTypeNode.getSuperDefinition
No,[67cat] java.lang.NullPointerException in sax document handler wizard
No,NullPointerException at org.netbeans.modules.xml.text.navigator.NavigatorContent$NavigatorContentPanel$2.actionPerformed
No,[67cat] AssertionError at org.netbeans.modules.xml.retriever.catalog.impl.CatalogModelFactoryImpl.getCatalogWriteModelForProject
No,Failed to Resolve Component with multiple References
No,Tab->Enter does not work for WSDL Wizard button except default
No,XML validation fails on import schemas
No,"No XML Schema support in NB 6.7 ""Java"" install"
No,NullPointerException at org.netbeans.modules.xml.schema.abe.nodes.ElementNode.initialize
No,IllegalStateException: attempted model write without invoking startTransaction
No,"IllegalArgumentException: getParent() called for DE (18073761)[""..."" (content) <3122-3122> ''] which is not in the elements list!"
No,IllegalArgumentException: Users/pintux/PhD/teaching/ComputazRete-0809/netbeans/AccountRegistrationBPEL/build/META-INF/src/localhost_8080/PasswordGenerator/passwordGeneratorService.xsd_1.xsd is not in
No,IllegalStateException: The model is not initialized or is broken.
No,NullPointerException at org.netbeans.modules.xml.schema.completion.util.CompletionUtil.populateItemsForAny
No,NullPointerException at org.netbeans.modules.xml.refactoring.ui.MoveFilePanel.initValues
No,IllegalArgumentException: old node must be in the tree
No,IllegalStateException: The data object C:\Arquivos de programas\Zend\Apache2\htdocs\tiss\application\modules\default\schema\tissV2_02_01.xsd is invalid; you may not call getNodeDelegate on it any more
No,IllegalStateException: Referencing component is not part of model.
No,IllegalArgumentException: URI is not hierarchical
No,XML/HTML indentation discrepancies
No,Codecompletion drop down to narrow in pom.xml (cropped content)
No,XML tag completion for closing tag should still offer completion after I press forward slash
No,NullPointerException at org.netbeans.modules.xml.wizard.impl.XMLWizardIterator.addChangeListener
No,UI hang in MediaTracker
No,NullPointerException at org.netbeans.modules.xml.schema.ui.nodes.schema.LocalSimpleTypeNode.getSuperDefinition
No,XML Schema code completion not working in editor
No,Incorrect tag highlight
No,Show orange lines
No,[67cat] AWT thread blocked for 7343 ms.
No,NullPointerException at org.netbeans.modules.xslt.tmap.util.Util.getTMapFo
No,Editing XML tags has issues with auto complete
No,NullPointerException at org.netbeans.modules.xml.schema.model.impl.resolver.ResolveSession.checkAllDependingModelsLoaded
No,xml.text.navigator.NavigatorContent.navigate calls openDocument
No,every line in edit schema with error underline
No,[68cat] Navigator still binds to closed source
No,Refactor move of wsdl doesn't update import in wsdl
No,"Inconsistent ""Edit"" action on XML files"
No,AWT thread blocked for 50923 ms.
No,"XML completion with schema says ""no documentation ..."""
No,[69cat] XML autocomplete doesn't override highlighted text
No,AWT thread blocked for 91526 ms.
No,[68cat] Code completion popup for dependency version is truncated
No,Find type resets after switching between views.
No,StackOverflowError at java.lang.AbstractStringBuilder.append
No,invalid error message when adding xmlns to ui:composition tag
No,[68cat] Suspicius renaming of an xml-resource file
No,[68cat] Undo after using alt-insert to add dependency to pom deletes content to end of file
No,[68cat] IllegalStateException: Should not acquire Children.MUTEX while holding ProjectManager.mutex()
No,Switch from design to xml view yields empty editor
No,AssertionError: Null file object.
No,NullPointerException at org.netbeans.modules.xml.multiview.XmlMultiViewElement.componentClosed
No,Exception during opening svg file
No,No syntax highlighting for xjb files
No,xam.AbstractModel.endTransaction throws undocumented ISE when XML file r/o
No,[68cat] NullPointerException at org.netbeans.modules.xml.multiview.XmlMultiViewElement.componentClosed
No,References to the local project resources have to use original project name but not internal netbeans alias
No,Source --> Format slow: (AWT thread blocked for 63138 ms).
No,AWT thread blocked for 33959 ms.
No,AWT thread blocked for 12546 ms.
No,pom.xml editor view expands all folds after edit
No,ArrayIndexOutOfBoundsException: 4
No,[69cat][68cat] AWT thread blocked for 3172 ms.
No,IllegalStateException: attempted model write without invoking startTransaction
No,AWT thread blocked for 28513 ms.
No,AWT thread blocked for 136456 ms.
No,Netbeans doesn't format XML file
No,Deadlock between maven.model.pom.impl.ProjectImpl and XDMModel
No,IllegalArgumentException: bad position: 1288
No,[68cat] LowPerformance took 4443 ms.
No,FNFE on http://xml.apache.org/xslt editing schema document
No,[68cat] java.io.FileNotFoundException: https://genesis.dev.java.net/nonav/ns/master_build.xml
No,java.net.UnknownHostException: www.springframework.org
No,NullPointerException at org.netbeans.modules.xml.retriever.catalog.impl.CatalogModelImpl.getModelSource
No,NullPointerException at java.net.URI$Parser.parse
No,java.util.ConcurrentModificationException: Caller uses obsolete token sequence which is no longer valid. Underlying token hierarchy has been modified: modCount=114 != upToDateModCount=115 Please repor
No,IllegalStateException: attempted model write without invoking startTransaction
No,IllegalStateException: attempted model write without invoking startTransaction
No,NullPointerException when editing XML in appliaction based on NB 6.8
No,[69cat] StackOverflowError at org.netbeans.modules.xml.axi.impl.ElementProxy.getName
No,IllegalArgumentException: protocol = http host = null
No,[69cat] IllegalStateException: Too many org.netbeans.modules.xml.schema.SchemaEditorSupport$4 (3) in shared RequestProcessor; create your own
No,[69cat] [69cat] IllegalStateException: Timer already cancelled.
No,JAXB Binding wizard fails on Web Application project
No,java.io.FileNotFoundException: http://maven.apache.org/POM/4.0.0
No,[69cat] [69cat] IllegalStateException: Too many org.netbeans.modules.xml.text.navigator.NavigatorContent$1 (3) in shared RequestProcessor; create your own
No,[69cat] java.util.MissingResourceException: No such bundle org.netbeans.modules.xml.text.navigator.base.Bundle
No,Deadlock when generating JUnit tests for Maven-based NBM project
No,IllegalStateException: The model is not initialized or is broken.
No,AWT thread blocked for 23490 ms.
No,java.util.ConcurrentModificationException at java.util.AbstractList$Itr.checkForComodification
No,xml errors do not show up on numberline
No,After closing tag autocomplete cursor is set after closing tag.
No,AssertionError at org.netbeans.modules.xml.xam.AbstractModelFactory.getModel
No,AssertionError at org.netbeans.modules.xml.xam.AbstractModelFactory.getModel
No,XMLModel.removeChildNodes does not fix up whitespace
No,NPE from CompletionContextImpl.initContext
No,"Changing of ""XML Editor"" position."
No,XML formatting locks up Netbeans IDE
No,XML editor auto-complete popup appears after pasting text
No,[69cat] IllegalStateException: The model is not initialized or is broken.
No,XML-related Template Categories should target all project types
No,OutOfMemoryError: GC overhead limit exceeded
No,AWT Thread dead locks with Maven related stuff
